0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:19 +0900] "GET /Day4/board/edit.jsp?b_idx=8 HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:34 +0900] "GET /Day4/board/edit.jsp?b_idx=8 HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:39 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:40 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:41 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:40:42 +0900] "GET /Day4/board/edit.jsp?b_idx=6 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:03 +0900] "GET /Day4/board/edit.jsp?b_idx=6 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:03 +0900] "GET /Day4/board/edit.jsp?b_idx=6 HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:04 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:05 +0900] "GET /Day4/board/view.jsp?b_idx=5 HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:06 +0900] "GET /Day4/board/edit.jsp?b_idx=5 HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:56 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:59 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:41:59 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:42:00 +0900] "GET /Day4/board/edit.jsp?b_idx=3 HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:42:02 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:42:03 +0900] "GET /Day4/board/view.jsp?b_idx=2 HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:42:04 +0900] "GET /Day4/board/edit.jsp?b_idx=2 HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:42:05 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:42:05 +0900] "GET /Day4/board/view.jsp?b_idx=8 HTTP/1.1" 200 1298
0:0:0:0:0:0:0:1 - - [19/Jan/2022:11:42:06 +0900] "GET /Day4/board/edit.jsp?b_idx=8 HTTP/1.1" 200 589
